Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 2, 4, 64, 0.695744, 0.47531, N/A, 0.0331936, 0.0478643, 1.95731, 0.802977, 2, 2, 1, 1, 4, 2, 72.0284, 2, 4, 2, 1, 4, 1, 62.9362, 
40, 256, 1, 64, 32, 0.559421, 0.524555, 0.0181358, 0.0140287, 0.0146927, 0.974687, 0.147368, 1, 8, 1, 1, 1, 1, 13.3463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
